2025-05-24 20:41:41 - tcp - 发送方: ('10.21.163.147', 39266) - 接收方: ('10.21.88.183', 8000) - 数据: 我是手机tcp客户端
2025-05-24 20:41:59 - tcp - 发送方: ('10.21.88.183', 8000) - 接收方: ('10.21.163.147', 39266) - 数据: 我是tcp服务端电脑
2025-05-24 21:12:34 - tcp - 发送方: ('10.21.88.183', 60629) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿嘿
2025-05-24 21:12:43 - tcp - 发送方: ('10.21.88.183', 60629) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿嘿帅哥
2025-05-24 21:13:07 - tcp - 发送方: ('10.21.88.183', 8000) - 接收方: ('10.21.88.183', 60629) - 数据: 我是电脑服务器tcp
2025-05-24 21:13:56 - tcp - 发送方: ('10.21.88.183', 60629) - 接收方: ('10.21.88.183', 8000) - 数据: 我是手机客户端tcp
2025-05-24 21:14:39 - tcp - 发送方: ('10.21.88.183', 60629) - 接收方: ('10.21.88.183', 8000) - 数据: 我是手机客户端tcp
2025-05-24 21:15:22 - tcp - 发送方: ('10.21.88.183', 60762) - 接收方: ('10.21.88.183', 8000) - 数据: 下午拿下一年英语试卷
2025-05-24 21:15:25 - tcp - 发送方: ('10.21.88.183', 60762) - 接收方: ('10.21.88.183', 8000) - 数据: 下午拿下一年英语试卷
2025-05-24 21:15:26 - tcp - 发送方: ('10.21.88.183', 60762) - 接收方: ('10.21.88.183', 8000) - 数据: 下午拿下一年英语试卷
2025-05-24 21:15:27 - tcp - 发送方: ('10.21.88.183', 60762) - 接收方: ('10.21.88.183', 8000) - 数据: 下午拿下一年英语试卷
2025-05-24 21:15:27 - tcp - 发送方: ('10.21.88.183', 60762) - 接收方: ('10.21.88.183', 8000) - 数据: 下午拿下一年英语试卷下午拿下一年英语试卷
2025-05-24 21:15:28 - tcp - 发送方: ('10.21.88.183', 60762) - 接收方: ('10.21.88.183', 8000) - 数据: 下午拿下一年英语试卷
2025-05-24 21:15:29 - tcp - 发送方: ('10.21.88.183', 60762) - 接收方: ('10.21.88.183', 8000) - 数据: 下午拿下一年英语试卷下午拿下一年英语试卷
2025-05-24 21:15:29 - tcp - 发送方: ('10.21.88.183', 60762) - 接收方: ('10.21.88.183', 8000) - 数据: 下午拿下一年英语试卷
2025-05-24 21:15:30 - tcp - 发送方: ('10.21.88.183', 60762) - 接收方: ('10.21.88.183', 8000) - 数据: 下午拿下一年英语试卷
2025-05-24 21:15:31 - tcp - 发送方: ('10.21.88.183', 60762) - 接收方: ('10.21.88.183', 8000) - 数据: 下午拿下一年英语试卷下午拿下一年英语试卷
